id,date,membre_id,produit_id,produit_nom,categorie,type,quantite,prix_unitaire,montant_total
1,2023-01-05,12,1,Mil,Céréales,Vente,100,350,35000
2,2023-01-06,5,4,Maïs,Céréales,Achat,200,280,56000
3,2023-01-08,23,13,Beurre de karité,Oléagineux,Vente,5,2800,14000
4,2023-01-10,7,2,Sorgho blanc,Céréales,Vente,150,400,60000
5,2023-01-12,34,8,Arachides coques,Légumineuses,Achat,80,500,40000
6,2023-01-15,18,16,Tomates,Maraîchage,Vente,25,550,13750
7,2023-01-18,2,10,Niébé blanc,Légumineuses,Vente,60,600,36000
8,2023-01-20,45,22,Mangues,Fruits,Vente,40,350,14000
9,2023-01-22,11,1,Mil,Céréales,Achat,250,320,80000
10,2023-01-25,29,17,Oignons,Maraîchage,Vente,35,650,22750
11,2023-01-28,3,5,Riz paddy,Céréales,Vente,75,500,37500
12,2023-01-30,41,12,Sésame,Oléagineux,Vente,15,1200,18000
13,2023-02-02,16,4,Maïs,Céréales,Vente,180,300,54000
14,2023-02-05,8,9,Arachides décortiquées,Légumineuses,Vente,30,800,24000
15,2023-02-08,27,3,Sorgho rouge,Céréales,Achat,120,360,43200
16,2023-02-10,14,24,Bananes,Fruits,Vente,20,550,11000
17,2023-02-12,33,15,Coton graine,Cultures de rente,Vente,300,300,90000
18,2023-02-15,6,7,Fonio,Céréales,Vente,25,650,16250
19,2023-02-18,39,11,Niébé rouge,Légumineuses,Achat,90,520,46800
20,2023-02-20,21,23,Oranges,Fruits,Vente,45,450,20250
21,2023-02-22,1,14,Noix de karité,Oléagineux,Vente,120,220,26400
22,2023-02-25,50,18,Choux,Maraîchage,Vente,30,350,10500
23,2023-02-28,13,6,Riz décortiqué,Céréales,Vente,40,750,30000
24,2023-03-03,25,20,Gombo,Maraîchage,Vente,22,525,11550
25,2023-03-05,4,1,Mil,Céréales,Vente,200,350,70000
26,2023-03-08,37,25,Papayes,Fruits,Achat,35,350,12250
27,2023-03-10,19,2,Sorgho blanc,Céréales,Vente,85,400,34000
28,2023-03-12,42,19,Haricot vert,Maraîchage,Vente,18,900,16200
29,2023-03-15,9,4,Maïs,Céréales,Achat,300,270,81000
30,2023-03-18,26,21,Aubergine,Maraîchage,Vente,28,450,12600
31,2023-03-20,15,8,Arachides coques,Légumineuses,Vente,95,550,52250
32,2023-03-22,31,13,Beurre de karité,Oléagineux,Vente,8,2800,22400
33,2023-03-25,10,16,Tomates,Maraîchage,Achat,50,500,25000
34,2023-03-28,47,5,Riz paddy,Céréales,Vente,55,500,27500
35,2023-03-30,22,10,Niébé blanc,Légumineuses,Vente,70,600,42000
36,2023-04-02,35,17,Oignons,Maraîchage,Vente,40,650,26000
37,2023-04-05,17,3,Sorgho rouge,Céréales,Vente,110,380,41800
38,2023-04-08,46,22,Mangues,Fruits,Vente,60,350,21000
39,2023-04-10,30,12,Sésame,Oléagineux,Achat,25,1100,27500
40,2023-04-12,5,7,Fonio,Céréales,Vente,32,650,20800
41,2023-04-15,43,24,Bananes,Fruits,Vente,28,550,15400
42,2023-04-18,20,15,Coton graine,Cultures de rente,Vente,400,300,120000
43,2023-04-20,28,9,Arachides décortiquées,Légumineuses,Vente,45,800,36000
44,2023-04-22,11,18,Choux,Maraîchage,Vente,25,350,8750
45,2023-04-25,36,23,Oranges,Fruits,Achat,65,420,27300
46,2023-04-28,7,11,Niébé rouge,Légumineuses,Vente,75,550,41250
47,2023-04-30,48,6,Riz décortiqué,Céréales,Vente,35,750,26250
48,2023-05-03,12,14,Noix de karité,Oléagineux,Vente,150,220,33000
49,2023-05-05,40,1,Mil,Céréales,Vente,180,350,63000
50,2023-05-08,3,20,Gombo,Maraîchage,Vente,30,525,15750
51,2023-05-10,32,4,Maïs,Céréales,Vente,220,300,66000
52,2023-05-12,24,25,Papayes,Fruits,Vente,42,375,15750
53,2023-05-15,49,2,Sorgho blanc,Céréales,Achat,160,380,60800
54,2023-05-18,16,21,Aubergine,Maraîchage,Vente,35,450,15750
55,2023-05-20,38,19,Haricot vert,Maraîchage,Vente,22,900,19800
56,2023-05-22,8,8,Arachides coques,Légumineuses,Vente,110,550,60500
57,2023-05-25,44,13,Beurre de karité,Oléagineux,Vente,6,2800,16800
58,2023-05-28,1,16,Tomates,Maraîchage,Vente,45,550,24750
59,2023-05-30,27,5,Riz paddy,Céréales,Vente,85,500,42500
60,2023-06-02,14,17,Oignons,Maraîchage,Achat,80,600,48000
61,2023-06-05,41,10,Niébé blanc,Légumineuses,Vente,90,600,54000
62,2023-06-08,23,3,Sorgho rouge,Céréales,Vente,95,380,36100
63,2023-06-10,6,22,Mangues,Fruits,Vente,75,350,26250
64,2023-06-12,50,12,Sésame,Oléagineux,Vente,20,1200,24000
65,2023-06-15,33,7,Fonio,Céréales,Achat,45,600,27000
66,2023-06-18,18,24,Bananes,Fruits,Vente,38,550,20900
67,2023-06-20,45,15,Coton graine,Cultures de rente,Vente,350,300,105000
68,2023-06-22,29,9,Arachides décortiquées,Légumineuses,Vente,55,800,44000
69,2023-06-25,2,18,Choux,Maraîchage,Vente,40,350,14000
70,2023-06-28,37,23,Oranges,Fruits,Vente,55,450,24750
71,2023-06-30,21,11,Niébé rouge,Légumineuses,Vente,85,550,46750
72,2023-07-03,47,6,Riz décortiqué,Céréales,Vente,48,750,36000
73,2023-07-05,10,14,Noix de karité,Oléagineux,Achat,200,200,40000
74,2023-07-08,34,1,Mil,Céréales,Vente,250,350,87500
75,2023-07-10,19,20,Gombo,Maraîchage,Vente,35,525,18375
76,2023-07-12,42,4,Maïs,Céréales,Vente,280,300,84000
77,2023-07-15,26,25,Papayes,Fruits,Vente,48,375,18000
78,2023-07-18,9,2,Sorgho blanc,Céréales,Vente,125,400,50000
79,2023-07-20,35,21,Aubergine,Maraîchage,Achat,60,420,25200
80,2023-07-22,15,19,Haricot vert,Maraîchage,Vente,28,900,25200
81,2023-07-25,31,8,Arachides coques,Légumineuses,Vente,120,550,66000
82,2023-07-28,13,13,Beurre de karité,Oléagineux,Vente,9,2800,25200
83,2023-07-30,46,16,Tomates,Maraîchage,Vente,52,550,28600
84,2023-08-02,22,5,Riz paddy,Céréales,Achat,90,480,43200
85,2023-08-05,4,17,Oignons,Maraîchage,Vente,95,650,61750
86,2023-08-08,39,10,Niébé blanc,Légumineuses,Vente,105,600,63000
87,2023-08-10,17,3,Sorgho rouge,Céréales,Vente,88,380,33440
88,2023-08-12,43,22,Mangues,Fruits,Vente,85,350,29750
89,2023-08-15,28,12,Sésame,Oléagineux,Vente,18,1200,21600
90,2023-08-18,5,7,Fonio,Céréales,Vente,38,650,24700
91,2023-08-20,36,24,Bananes,Fruits,Achat,65,500,32500
92,2023-08-22,20,15,Coton graine,Cultures de rente,Vente,450,300,135000
93,2023-08-25,48,9,Arachides décortiquées,Légumineuses,Vente,62,800,49600
94,2023-08-28,11,18,Choux,Maraîchage,Vente,45,350,15750
95,2023-08-30,40,23,Oranges,Fruits,Vente,70,450,31500
96,2023-09-02,7,11,Niébé rouge,Légumineuses,Vente,95,550,52250
97,2023-09-05,32,6,Riz décortiqué,Céréales,Achat,55,720,39600
98,2023-09-08,24,14,Noix de karité,Oléagineux,Vente,180,220,39600
99,2023-09-10,49,1,Mil,Céréales,Vente,300,350,105000
100,2023-09-12,16,20,Gombo,Maraîchage,Vente,42,525,22050
101,2023-09-15,38,4,Maïs,Céréales,Vente,320,300,96000
102,2023-09-18,8,25,Papayes,Fruits,Vente,55,375,20625
103,2023-09-20,44,2,Sorgho blanc,Céréales,Vente,142,400,56800
104,2023-09-22,1,21,Aubergine,Maraîchage,Vente,48,450,21600
105,2023-09-25,27,19,Haricot vert,Maraîchage,Achat,35,850,29750
106,2023-09-28,14,8,Arachides coques,Légumineuses,Vente,135,550,74250
107,2023-09-30,41,13,Beurre de karité,Oléagineux,Vente,7,2800,19600
108,2023-10-03,23,16,Tomates,Maraîchage,Vente,58,550,31900
109,2023-10-05,6,5,Riz paddy,Céréales,Vente,115,500,57500
110,2023-10-08,50,17,Oignons,Maraîchage,Vente,85,650,55250
111,2023-10-10,33,10,Niébé blanc,Légumineuses,Achat,125,580,72500
112,2023-10-12,18,3,Sorgho rouge,Céréales,Vente,105,380,39900
113,2023-10-15,45,22,Mangues,Fruits,Vente,95,350,33250
114,2023-10-18,29,12,Sésame,Oléagineux,Vente,22,1200,26400
115,2023-10-20,2,7,Fonio,Céréales,Vente,45,650,29250
116,2023-10-22,37,24,Bananes,Fruits,Vente,52,550,28600
117,2023-10-25,21,15,Coton graine,Cultures de rente,Achat,500,280,140000
118,2023-10-28,47,9,Arachides décortiquées,Légumineuses,Vente,68,800,54400
119,2023-10-30,10,18,Choux,Maraîchage,Vente,52,350,18200
120,2023-11-02,34,23,Oranges,Fruits,Vente,78,450,35100
121,2023-11-05,19,11,Niébé rouge,Légumineuses,Vente,108,550,59400
122,2023-11-08,42,6,Riz décortiqué,Céréales,Vente,62,750,46500
123,2023-11-10,26,14,Noix de karité,Oléagineux,Achat,250,180,45000
124,2023-11-12,9,1,Mil,Céréales,Vente,350,280,98000
125,2023-11-15,35,20,Gombo,Maraîchage,Vente,48,525,25200
126,2023-11-18,15,4,Maïs,Céréales,Achat,350,280,98000
127,2023-11-20,25,1,Mil,Céréales,Vente,420,350,147000
128,2023-11-22,8,25,Papayes,Fruits,Vente,60,375,22500
129,2023-11-25,33,2,Sorgho blanc,Céréales,Vente,130,400,52000
130,2023-11-28,41,21,Aubergine,Maraîchage,Vente,38,450,17100
131,2023-11-30,18,19,Haricot vert,Maraîchage,Vente,25,900,22500
132,2023-12-02,27,8,Arachides coques,Légumineuses,Vente,140,550,77000
133,2023-12-05,6,13,Beurre de karité,Oléagineux,Vente,12,2800,33600
134,2023-12-08,44,16,Tomates,Maraîchage,Vente,55,550,30250
135,2023-12-10,3,5,Riz paddy,Céréales,Vente,95,500,47500
136,2023-12-12,37,17,Oignons,Maraîchage,Achat,120,600,72000
137,2023-12-15,12,10,Niébé blanc,Légumineuses,Vente,115,600,69000
138,2023-12-18,50,3,Sorgho rouge,Céréales,Vente,98,380,37240
139,2023-12-20,22,22,Mangues,Fruits,Vente,90,350,31500
140,2023-12-22,9,12,Sésame,Oléagineux,Vente,28,1200,33600
141,2023-12-25,29,7,Fonio,Céréales,Vente,52,650,33800
142,2023-12-28,14,24,Bananes,Fruits,Achat,75,500,37500
143,2023-12-30,45,15,Coton graine,Cultures de rente,Vente,380,300,114000
144,2024-01-03,17,9,Arachides décortiquées,Légumineuses,Vente,75,800,60000
145,2024-01-05,31,18,Choux,Maraîchage,Vente,48,350,16800
146,2024-01-08,2,23,Oranges,Fruits,Vente,85,450,38250
147,2024-01-10,46,11,Niébé rouge,Légumineuses,Vente,102,550,56100
148,2024-01-12,21,6,Riz décortiqué,Céréales,Vente,68,750,51000
149,2024-01-15,34,14,Noix de karité,Oléagineux,Achat,280,200,56000
150,2024-01-18,7,1,Mil,Céréales,Vente,380,350,133000
151,2024-01-20,39,20,Gombo,Maraîchage,Vente,55,525,28875
152,2024-01-22,13,4,Maïs,Céréales,Vente,420,300,126000
153,2024-01-25,26,25,Papayes,Fruits,Vente,68,375,25500
154,2024-01-28,5,2,Sorgho blanc,Céréales,Achat,180,380,68400
155,2024-01-30,42,21,Aubergine,Maraîchage,Vente,52,450,23400
156,2024-02-02,19,19,Haricot vert,Maraîchage,Vente,32,900,28800
157,2024-02-05,48,8,Arachides coques,Légumineuses,Vente,155,550,85250
158,2024-02-08,11,13,Beurre de karité,Oléagineux,Vente,14,2800,39200
159,2024-02-10,32,16,Tomates,Maraîchage,Vente,62,550,34100
160,2024-02-12,24,5,Riz paddy,Céréales,Achat,108,480,51840
161,2024-02-15,40,17,Oignons,Maraîchage,Vente,135,650,87750
162,2024-02-18,16,10,Niébé blanc,Légumineuses,Vente,125,600,75000
163,2024-02-20,49,3,Sorgho rouge,Céréales,Vente,115,380,43700
164,2024-02-22,38,22,Mangues,Fruits,Vente,102,350,35700
165,2024-02-25,8,12,Sésame,Oléagineux,Vente,32,1200,38400
166,2024-02-28,44,7,Fonio,Céréales,Achat,58,600,34800
167,2024-03-03,1,24,Bananes,Fruits,Vente,88,550,48400
168,2024-03-05,27,15,Coton graine,Cultures de rente,Vente,420,300,126000
169,2024-03-08,14,9,Arachides décortiquées,Légumineuses,Vente,82,800,65600
170,2024-03-10,41,18,Choux,Maraîchage,Vente,55,350,19250
171,2024-03-12,23,23,Oranges,Fruits,Achat,95,420,39900
172,2024-03-15,6,11,Niébé rouge,Légumineuses,Vente,118,550,64900
173,2024-03-18,50,6,Riz décortiqué,Céréales,Vente,78,750,58500
174,2024-03-20,33,14,Noix de karité,Oléagineux,Vente,320,220,70400
175,2024-03-22,18,1,Mil,Céréales,Vente,450,350,157500
176,2024-03-25,45,20,Gombo,Maraîchage,Vente,62,525,32550
177,2024-03-28,29,4,Maïs,Céréales,Vente,480,300,144000
178,2024-03-30,2,25,Papayes,Fruits,Vente,78,375,29250
179,2024-04-02,37,2,Sorgho blanc,Céréales,Vente,198,400,79200
180,2024-04-05,12,21,Aubergine,Maraîchage,Achat,58,420,24360
181,2024-04-08,47,19,Haricot vert,Maraîchage,Vente,38,900,34200
182,2024-04-10,20,8,Arachides coques,Légumineuses,Vente,165,550,90750
183,2024-04-12,36,13,Beurre de karité,Oléagineux,Vente,16,2800,44800
184,2024-04-15,9,16,Tomates,Maraîchage,Vente,68,550,37400
185,2024-04-18,32,5,Riz paddy,Céréales,Vente,118,500,59000
186,2024-04-20,25,17,Oignons,Maraîchage,Vente,145,650,94250
187,2024-04-22,43,10,Niébé blanc,Légumineuses,Achat,135,580,78300
188,2024-04-25,17,3,Sorgho rouge,Céréales,Vente,128,380,48640
189,2024-04-28,46,22,Mangues,Fruits,Vente,115,350,40250
190,2024-04-30,30,12,Sésame,Oléagineux,Vente,38,1200,45600
191,2024-05-03,5,7,Fonio,Céréales,Vente,65,650,42250
192,2024-05-05,39,24,Bananes,Fruits,Vente,95,550,52250
193,2024-05-08,22,15,Coton graine,Cultures de rente,Achat,460,280,128800
194,2024-05-10,48,9,Arachides décortiquées,Légumineuses,Vente,88,800,70400
195,2024-05-12,11,18,Choux,Maraîchage,Vente,62,350,21700
196,2024-05-15,34,23,Oranges,Fruits,Vente,108,450,48600
197,2024-05-18,19,11,Niébé rouge,Légumineuses,Vente,128,550,70400
198,2024-05-20,42,6,Riz décortiqué,Céréales,Achat,85,720,61200
199,2024-05-22,26,14,Noix de karité,Oléagineux,Vente,360,220,79200
200,2024-05-25,9,1,Mil,Céréales,Vente,520,350,182000
201,2024-05-28,35,20,Gombo,Maraîchage,Vente,72,525,37800
202,2024-05-30,15,4,Maïs,Céréales,Vente,520,300,156000
203,2024-06-02,31,25,Papayes,Fruits,Vente,88,375,33000
204,2024-06-05,44,2,Sorgho blanc,Céréales,Vente,215,400,86000
205,2024-06-08,1,21,Aubergine,Maraîchage,Vente,65,450,29250
206,2024-06-10,27,19,Haricot vert,Maraîchage,Vente,42,900,37800
207,2024-06-12,14,8,Arachides coques,Légumineuses,Achat,175,520,91000
208,2024-06-15,41,13,Beurre de karité,Oléagineux,Vente,18,2800,50400
209,2024-06-18,23,16,Tomates,Maraîchage,Vente,75,550,41250
210,2024-06-20,6,5,Riz paddy,Céréales,Vente,128,500,64000
211,2024-06-22,50,17,Oignons,Maraîchage,Vente,155,650,100750
212,2024-06-25,33,10,Niébé blanc,Légumineuses,Vente,148,600,88800
213,2024-06-28,18,3,Sorgho rouge,Céréales,Achat,142,360,51120
214,2024-06-30,45,22,Mangues,Fruits,Vente,125,350,43750
215,2024-07-03,29,12,Sésame,Oléagineux,Vente,42,1200,50400
216,2024-07-05,2,7,Fonio,Céréales,Vente,72,650,46800
217,2024-07-08,37,24,Bananes,Fruits,Achat,105,500,52500
218,2024-07-10,21,15,Coton graine,Cultures de rente,Vente,500,300,150000
219,2024-07-12,47,9,Arachides décortiquées,Légumineuses,Vente,95,800,76000
220,2024-07-15,10,18,Choux,Maraîchage,Vente,68,350,23800
221,2024-07-18,34,23,Oranges,Fruits,Vente,118,450,53100
222,2024-07-20,19,11,Niébé rouge,Légumineuses,Vente,138,550,75900
223,2024-07-22,42,6,Riz décortiqué,Céréales,Vente,95,750,71250
224,2024-07-25,26,14,Noix de karité,Oléagineux,Achat,400,180,72000
225,2024-07-28,9,1,Mil,Céréales,Vente,580,350,203000
226,2024-07-30,35,20,Gombo,Maraîchage,Vente,82,525,43050
227,2024-08-02,15,4,Maïs,Céréales,Vente,560,300,168000
228,2024-08-05,31,25,Papayes,Fruits,Vente,98,375,36750
229,2024-08-08,44,2,Sorgho blanc,Céréales,Achat,235,380,89300
230,2024-08-10,1,21,Aubergine,Maraîchage,Vente,72,450,32400
231,2024-08-12,27,19,Haricot vert,Maraîchage,Vente,48,900,43200
232,2024-08-15,14,8,Arachides coques,Légumineuses,Vente,185,550,101750
233,2024-08-18,41,13,Beurre de karité,Oléagineux,Vente,22,2800,61600
234,2024-08-20,23,16,Tomates,Maraîchage,Achat,82,500,41000
235,2024-08-22,6,5,Riz paddy,Céréales,Vente,138,500,69000
236,2024-08-25,50,17,Oignons,Maraîchage,Vente,165,650,107250
237,2024-08-28,33,10,Niébé blanc,Légumineuses,Vente,158,600,94800
238,2024-08-30,18,3,Sorgho rouge,Céréales,Vente,152,380,57760
239,2024-09-02,45,22,Mangues,Fruits,Vente,135,350,47250
240,2024-09-05,29,12,Sésame,Oléagineux,Achat,48,1100,52800
241,2024-09-08,2,7,Fonio,Céréales,Vente,82,650,53300
242,2024-09-10,37,24,Bananes,Fruits,Vente,118,550,64900
243,2024-09-12,21,15,Coton graine,Cultures de rente,Vente,540,300,162000
244,2024-09-15,47,9,Arachides décortiquées,Légumineuses,Vente,105,800,84000
245,2024-09-18,10,18,Choux,Maraîchage,Vente,75,350,26250
246,2024-09-20,34,23,Oranges,Fruits,Achat,128,420,53760
247,2024-09-22,19,11,Niébé rouge,Légumineuses,Vente,148,550,81400
248,2024-09-25,42,6,Riz décortiqué,Céréales,Vente,105,750,78750
249,2024-09-28,26,14,Noix de karité,Oléagineux,Vente,450,220,99000
250,2024-09-30,9,1,Mil,Céréales,Vente,620,350,217000
251,2024-10-03,35,20,Gombo,Maraîchage,Vente,92,525,48300
252,2024-10-05,15,4,Maïs,Céréales,Achat,600,270,162000
