id,nom,titre,origine,force,agilite,intelligence,sagesse,charisme,vie,mana,niveau_initial,classe,arme_favorite,pouvoir_special,histoire
1,Yennenga,Princesse Guerrière,Dagomba,85,90,75,80,95,120,80,10,Cavalière,Lance de Guerre,Galop Divin,"Princesse légendaire du royaume dagomba, mère du peuple mossi"
2,Naaba Oubri,Roi Fondateur,Tenkodogo,80,70,95,90,100,150,100,12,Souverain,Sceptre Royal,Commandement,Premier empereur mossi et fils de Yennenga
3,Naaba Koudoumie,Chef de Guerre,Ouagadougou,90,75,70,75,85,140,60,9,Guerrier,Épée Courbe,Fureur du Lion,Grand stratège militaire des royaumes mossi
4,Naaba Wubri,Sage Conseiller,Yatenga,65,60,100,95,80,100,120,11,Conseiller,Bâton de Sagesse,Vision Prophétique,Sage réputé pour ses conseils avisés
5,Poko,Chasseur Légendaire,Gourma,95,100,60,70,65,110,40,8,Chasseur,Arc en Bois de Karité,Œil de Faucon,Meilleur archer de la savane burkinabè
6,Wendé,Guérisseuse,Pays Bissa,50,70,85,100,90,90,140,10,Guérisseuse,Calebasse Sacrée,Guérison Divine,Gardienne des secrets de la médecine traditionnelle
7,Tiendrébeogo,Forgeron Magique,Manga,75,80,90,85,70,130,90,9,Artisan,Marteau Enchanté,Forge Mystique,Maître forgeron créateur d'armes légendaires
8,Raogo,Conteur Voyageur,Gaoua,55,85,80,90,100,80,110,7,Barde,Kora Enchantée,Récit Hypnotique,Griot gardien des traditions orales mossi
9,Kouka,Amazone des Collines,Dori,88,95,65,70,75,125,70,9,Amazone,Sagaie Empoisonnée,Bond de Gazelle,Guerrière redoutable des terres sahéliennes
10,Boukary,Marabout Mystique,Gorom-Gorom,60,55,95,100,85,95,150,11,Marabout,Chapelet de Prière,Protection Divine,Sage musulman aux pouvoirs mystiques